0 13706700  0001079  0000251  0016595  0000000  0000000  0000000
0 13706701  0000567  0000156  0016358  0000000  0000000  0000000
0 13706701  0000869  0000111  0016152  0000000  0000000  0000000
0 13706701  0001435  0000129  0015653  0000000  0000000  0000000
0 13706701  0001180  0000360  0015435  0000000  0000000  0000000
0 13706702  0001008  0000241  0015859  0000000  0000000  0000000
0 13706702  0000910  0000272  0016051  0000000  0000000  0000000
0 13706702  0001084  0000200  0016124  0000000  0000000  0000000
0 13706702  0000953  0000031  0016536  0000000  0000000  0000000
0 13706703  0000741  0000029  0016791  0000000  0000000  0000000
0 13706703  0000943 -0000021  0016784  0000000  0000000  0000000
0 13706703  0000793  0000048  0016678  0000000  0000000  0000000
0 13706703  0000784  0000121  0016527  0000000  0000000  0000000
0 13706704  0000997  0000055  0016687  0000000  0000000  0000000
0 13706704  0000974  0000135  0016776  0000000  0000000  0000000
0 13706704  0000880  0000171  0016910  0000000  0000000  0000000
0 13706704  0000901  0000081  0017199  0000000  0000000  0000000
0 13706705  0000928  0000074  0017193  0000000  0000000  0000000
0 13706705  0001059  0000150  0017079  0000000  0000000  0000000
0 13706705  0001092  0000163  0016811  0000000  0000000  0000000
0 13706705  0001082  0000399  0016461  0000000  0000000  0000000
0 13706706  0001164  0000379  0016348  0000000  0000000  0000000
0 13706706  0001119  0000354  0016347  0000000  0000000  0000000
0 13706706  0001053  0000418  0016297  0000000  0000000  0000000
0 13706706  0001169  0000366  0016554  0000000  0000000  0000000
0 13706707  0000967  0000288  0016589  0000000  0000000  0000000
0 13706707  0001004  0000348  0016337  0000000  0000000  0000000
0 13706707  0001175  0000383  0016159  0000000  0000000  0000000
0 13706707  0001127  0000322  0016078  0000000  0000000  0000000
0 13706708  0001077  0000320  0015958  0000000  0000000  0000000
0 13706708  0001058  0000308  0016098  0000000  0000000  0000000
0 13706708  0000957  0000251  0016238  0000000  0000000  0000000
0 13706708  0000980  0000155  0016321  0000000  0000000  0000000
0 13706709  0000974  0000106  0016509  0000000  0000000  0000000
0 13706709  0000849  0000071  0016607  0000000  0000000  0000000
0 13706709  0000857  0000130  0016490  0000000  0000000  0000000
0 13706709  0000960  0000132  0016494  0000000  0000000  0000000
0 13706710  0001012  0000151  0016669  0000000  0000000  0000000
0 13706710  0000949  0000129  0016801  0000000  0000000  0000000
0 13706710  0000915  0000117  0016856  0000000  0000000  0000000
0 13706710  0000947  0000134  0016894  0000000  0000000  0000000
0 13706711  0000942  0000068  0016892  0000000  0000000  0000000
0 13706711  0000920  0000050  0016810  0000000  0000000  0000000
0 13706711  0000939  0000092  0016726  0000000  0000000  0000000
0 13706711  0000969  0000172  0016714  0000000  0000000  0000000
0 13706712  0001001  0000184  0016689  0000000  0000000  0000000
0 13706712  0000978  0000195  0016708  0000000  0000000  0000000
0 13706712  0000941  0000169  0016553  0000000  0000000  0000000
0 13706712  0001012  0000216  0016481  0000000  0000000  0000000
0 13706713  0001038  0000259  0016415  0000000  0000000  0000000
0 13706713  0001126  0000347  0016336  0000000  0000000  0000000
0 13706713  0001085  0000354  0016219  0000000  0000000  0000000
0 13706713  0001093  0000348  0016201  0000000  0000000  0000000
0 13706714  0001115  0000342  0016202  0000000  0000000  0000000
0 13706714  0001079  0000365  0016264  0000000  0000000  0000000
0 13706714  0001028  0000347  0016216  0000000  0000000  0000000
0 13706714  0000990  0000295  0016270  0000000  0000000  0000000
0 13706715  0001014  0000252  0016279  0000000  0000000  0000000
0 13706715  0001040  0000216  0016443  0000000  0000000  0000000
0 13706715  0001059  0000255  0016547  0000000  0000000  0000000
0 13706715  0000984  0000222  0016510  0000000  0000000  0000000
0 13706716  0000969  0000123  0016653  0000000  0000000  0000000
0 13706716  0000949  0000154  0016712  0000000  0000000  0000000
0 13706716  0000982  0000110  0016720  0000000  0000000  0000000
0 13706716  0000960  0000054  0016733  0000000  0000000  0000000
